cloth_name,cloth_link,cloth_image,cloth_pattern,cloth_type,codi_link
CORDUROY VARSITY JACKET ROYAL BLUE,https://www.musinsa.com/app/goods/2142489/0,https://image.msscdn.net/images/goods_img/20210923/2142489/2142489_1_500.jpg?t=20210923140743,None,스타디움 재킷,https://www.musinsa.com/app/styles/views/23282?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=53
N1 코듀로이 오버핏 셔츠 자켓_카키,https://www.musinsa.com/app/goods/886826/0,https://image.msscdn.net/images/goods_img/20181020/886826/886826_2_500.jpg?t=20181119093510,None,기타 아우터,https://www.musinsa.com/app/styles/views/7017?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=53
드롭 숄더 싱글 코트 [핑크],https://www.musinsa.com/app/goods/470259/0,https://image.msscdn.net/images/goods_img/20170106/470259/470259_3_500.jpg?t=20181031201505,None,겨울 싱글 코트,https://www.musinsa.com/app/styles/views/3141?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=53
down vest black,https://www.musinsa.com/app/goods/644105/0,https://image.msscdn.net/images/goods_img/20170926/644105/644105_1_500.jpg?t=20170927103317,None,패딩 베스트,https://www.musinsa.com/app/styles/views/3141?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=53
버튼 포인트 베스트 민트,https://www.musinsa.com/app/goods/2125010/0,https://image.msscdn.net/images/goods_img/20210911/2125010/2125010_1_500.jpg?t=20210911172745,None,베스트,https://www.musinsa.com/app/styles/views/26674?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=53
드리즐러자켓 디그레이,https://www.musinsa.com/app/goods/2313847/0,https://image.msscdn.net/images/goods_img/20220118/2313847/2313847_1_500.jpg?t=20220628165732,None,블루종/MA-1,https://www.musinsa.com/app/styles/views/28991?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=53
MA-1 레귤러 Replica Blue,https://www.musinsa.com/app/goods/411213/0,https://image.msscdn.net/images/goods_img/20160912/411213/411213_9_500.jpg?t=20221124134249,None,블루종/MA-1,https://www.musinsa.com/app/styles/views/23199?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=53
M65 숏 자켓 올리브,https://www.musinsa.com/app/goods/2104375/0,https://image.msscdn.net/images/goods_img/20210902/2104375/2104375_3_500.jpg?t=20220208150020,None,사파리/헌팅 재킷,https://www.musinsa.com/app/styles/views/23208?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=53
Vertical Clean Denim Trucker Jacket [Black],https://www.musinsa.com/app/goods/2680393/0,https://image.msscdn.net/images/goods_img/20220725/2680393/2680393_1_500.jpg?t=20220725171248,None,트러커 재킷,https://www.musinsa.com/app/styles/views/28807?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=54
라운드넥 버티컬 퀼티드 라이트 다운 베스트 [블랙],https://www.musinsa.com/app/goods/606313/0,https://image.msscdn.net/images/goods_img/20170822/606313/606313_4_500.jpg?t=20190814160638,None,패딩 베스트,https://www.musinsa.com/app/styles/views/19178?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=54
